"STT","Session_ID","Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","Revenue_int"
1,1,0,0,0,0,1,0,0.2,0.2,0,0,"Feb",1,1,1,1,"Returning_Visitor",FALSE,FALSE,0
2,2,0,0,0,0,2,64,0,0.1,0,0,"Feb",2,2,1,2,"Returning_Visitor",FALSE,FALSE,0
3,3,0,0,0,0,1,0,0.2,0.2,0,0,"Feb",4,1,9,3,"Returning_Visitor",FALSE,FALSE,0
4,4,0,0,0,0,2,2.666666667,0.05,0.14,0,0,"Feb",3,2,2,4,"Returning_Visitor",FALSE,FALSE,0
5,5,0,0,0,0,10,627.5,0.02,0.05,0,0,"Feb",3,3,1,4,"Returning_Visitor",TRUE,FALSE,0
6,6,0,0,0,0,19,154.2166667,0.015789474,0.024561404,0,0,"Feb",2,2,1,3,"Returning_Visitor",FALSE,FALSE,0
7,7,0,0,0,0,1,0,0.2,0.2,0,0.4,"Feb",2,4,3,3,"Returning_Visitor",FALSE,FALSE,0
8,8,1,0,0,0,0,0,0.2,0.2,0,0,"Feb",1,2,1,5,"Returning_Visitor",TRUE,FALSE,0
9,9,0,0,0,0,2,37,0,0.1,0,0.8,"Feb",2,2,2,3,"Returning_Visitor",FALSE,FALSE,0
10,10,0,0,0,0,3,738,0,0.022222222,0,0.4,"Feb",2,4,1,2,"Returning_Visitor",FALSE,FALSE,0
11,11,0,0,0,0,3,395,0,0.066666667,0,0,"Feb",1,1,3,3,"Returning_Visitor",FALSE,FALSE,0
12,12,0,0,0,0,16,407.75,0.01875,0.025833333,0,0.4,"Feb",1,1,4,3,"Returning_Visitor",FALSE,FALSE,0
13,13,0,0,0,0,7,280.5,0,0.028571429,0,0,"Feb",1,1,1,3,"Returning_Visitor",FALSE,FALSE,0
14,14,0,0,0,0,6,98,0,0.066666667,0,0,"Feb",2,5,1,3,"Returning_Visitor",FALSE,FALSE,0
