"Measure","Value"
"Observations n","12330"
"Correlation r","0.86092683617637"
"R squared","0.741195017248654"
"Intercept b0","19.3009166234263"
"Slope b1","37.0435211086784"
"Sxx","24387629.8904298"
"SSE","11685149149.8809"
"Residual degrees of freedom","12328"
"MSE","947854.408653546"
"Residual standard error","973.578147173377"
"Slope standard error","0.197145114622822"
"Slope t statistic","187.899767029734"
"Two-sided t critical","1.96015643264172"
"Slope p-value","< 0.001"
"Slope 95% lower","36.6570858440866"
"Slope 95% upper","37.4299563732703"
"Decision","Reject H0"
